timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20201103T1000,13.435029,0,5.3999996,323.13013
20201103T1100,13.315029,0.2,5.6233797,320.19443
20201103T1200,13.165029,0.2,6.193674,305.5377
20201103T1300,12.945029,0.3,6.9527545,291.2505
20201103T1400,12.505029,0.1,7.5170207,286.69925
20201103T1500,12.055029,0,7.5942073,275.44034
20201103T1600,11.675029,0.4,8.825508,258.23172
20201103T1700,11.385029,0,9.028754,246.50143
20201103T1800,11.265029,0,9.19939,239.42078
20201103T1900,10.925029,0,8.39657,239.03624
20201103T2000,10.595029,0,8.854829,243.43495
20201103T2100,10.435029,0,9.449572,252.25534
20201103T2200,10.235029,0,11.212135,264.47247
20201103T2300,9.805029,0,10.823973,273.8141
20201104T0000,9.345029,0,9.346143,285.64224
20201104T0100,8.865028,0,7.5685663,295.3462
20201104T0200,8.315029,0,3.7064266,330.94543
20201104T0300,7.425029,0,4.896529,342.89728
20201104T0400,6.4450293,0,5.04,360
20201104T0500,5.475029,0,5.4477882,7.594635
20201104T0600,5.145029,0,6.638072,12.528809
20201104T0700,4.815029,0,7.072878,14.743561
20201104T0800,5.845029,0,8.427383,19.983109
20201104T0900,7.925029,0,10.636766,23.962479
20201104T1000,9.215029,0,12.24,28.07248
20201104T1100,9.635029,0,12.979984,33.690063
20201104T1200,9.785029,0,13.392774,36.25383
20201104T1300,9.785029,0,13.896187,36.573013
20201104T1400,9.565029,0,14.336861,28.495636
20201104T1500,9.365028,0.2,13.684735,35.362457
20201104T1600,9.225029,0.1,12.475961,43.830856
20201104T1700,8.875029,0,9.957108,49.398697
20201104T1800,8.665029,0,8.942214,49.89908
20201104T1900,8.605029,0,8.654987,44.999985
20201104T2000,8.525029,0,9.793059,36.027374
20201104T2100,8.435029,0,10.296251,36.469223
20201104T2200,8.4950285,0,10.97262,41.009094
20201104T2300,8.395029,0,10.948973,46.3322
20201105T0000,8.125029,0,9.957108,49.398697
20201105T0100,7.9050283,0,9.449572,49.635452
20201105T0200,7.5850286,0,7.42159,39.09384
20201105T0300,7.265029,0,7.5942082,31.42955
20201105T0400,6.9950285,0,7.8954163,24.227737
20201105T0500,6.7450285,0,8.049845,26.565033
20201105T0600,6.305029,0,7.9036193,30.068573
20201105T0700,5.975029,0,7.9932966,35.837646
20201105T0800,6.185029,0,8.14587,44.999985
20201105T0900,7.3250284,0,8.942214,49.89908
20201105T1000,8.715029,0,9.885262,56.88865
20201105T1100,9.775029,0,10.787993,64.29004
20201105T1200,10.595029,0,11.91812,64.98311
20201105T1300,11.365029,0,12.879752,63.43495
20201105T1400,12.015029,0,13.684735,63.43495
20201105T1500,12.325029,0,14.973577,62.818893
20201105T1600,12.425029,0,16.263872,62.30053
20201105T1700,11.925029,0,15.617529,64.02559
20201105T1800,11.655029,0,14.84318,67.166336
20201105T1900,11.225029,0,13.1041975,69.0755
20201105T2000,9.595029,0,11.27553,73.30075
20201105T2100,7.215029,0,9.346143,74.35776
20201105T2200,6.6650286,0,7.771331,76.6075
20201105T2300,7.9450293,0,6.2145634,79.99202
